MGG Query	Matched Targets	Functional Names
WP_009885804.1	WP_014894676	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL [Mycoplasma genitalium]
WP_009885724.1	WP_014894123	SsrA-binding protein [Mycoplasma genitalium]
WP_009885728.1	WP_014894126	hypothetical protein [Mycoplasma genitalium]
WP_009885730.1	WP_014894552	hypothetical protein [Mycoplasma genitalium]
WP_009885731.1	WP_014893913	hypothetical protein [Mycoplasma genitalium]
WP_009885732.1	WP_014894371	hypothetical protein [Mycoplasma genitalium]
WP_009885751.1	WP_014894429	holo-ACP synthase [Mycoplasma genitalium]
WP_009885752.1	WP_014894218	1-acyl-sn-glycerol-3-phosphate acyltransferase [Mycoplasma genitalium]
WP_009885754.1	WP_014894220	segregation/condensation protein B [Mycoplasma genitalium]
WP_009885755.1	WP_014894222	pyruvate kinase [Mycoplasma genitalium]
WP_009885758.1	WP_014894226	hypothetical protein [Mycoplasma genitalium]
WP_009885894.1	WP_014894446	hypothetical protein [Mycoplasma genitalium]
WP_009885895.1	WP_010874738	dephospho-CoA kinase [Mycoplasma pneumoniae]
WP_009885896.1	WP_010874739	haloacid dehalogenase [Mycoplasma pneumoniae]
WP_009885898.1	WP_010874741	hypothetical protein [Mycoplasma pneumoniae]
WP_009885899.1	WP_014894246	deoxynucleoside kinase [Mycoplasma genitalium]
WP_009885861.1	WP_010874547	30S ribosomal protein S11 [Mycoplasma pneumoniae]
WP_009885862.1	WP_014894192	DNA-directed RNA polymerase subunit alpha [Mycoplasma genitalium]
WP_009885864.1	WP_014893973	energy-coupling factor transporter ATPase [Mycoplasma genitalium]
WP_009885865.1	WP_014893974	cobalt ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_009885866.1	WP_014894193	hypothetical protein [Mycoplasma genitalium]
WP_010869290.1	WP_014893894	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869291.1	WP_014893895	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869292.1	WP_014893896	helicase [Mycoplasma genitalium]
WP_010869294.1	WP_014894103	elongation factor P [Mycoplasma genitalium]
WP_010869296.1	WP_014894360	DNA polymerase III subunit alpha [Mycoplasma genitalium]
WP_010869470.1	WP_014894325	peptide-methionine (S)-S-oxide reductase [Mycoplasma genitalium]
WP_010869471.1	WP_014894328	phosphate ABC transporter, permease protein PstA [Mycoplasma genitalium]
WP_010869472.1	WP_014894504	hypothetical protein [Mycoplasma genitalium]
WP_010869473.1	WP_014894067	hypothetical protein [Mycoplasma genitalium]
WP_010869474.1	WP_014894068	hypothetical protein [Mycoplasma genitalium]
WP_010869493.1	WP_014894707	chromosomal replication initiator protein DnaA [Mycoplasma genitalium]
WP_014893951.1	WP_014894162	hypothetical protein [Mycoplasma genitalium]
WP_014894004.1	WP_014894632	RDD family protein [Mycoplasma genitalium]
WP_014894005.1	WP_010874712	cysteine--tRNA ligase [Mycoplasma pneumoniae]
WP_014894023.1	WP_014894460	MFS transporter [Mycoplasma genitalium]
WP_010869315.1	WP_014893912	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869316.1	WP_014894128	transketolase [Mycoplasma genitalium]
WP_010869318.1	WP_014893921	excinuclease ABC subunit B [Mycoplasma genitalium]
WP_010869319.1	WP_014894138	hypothetical protein [Mycoplasma genitalium]
WP_010869322.1	WP_014893924	oligopeptide transport ATP-binding protein OppD [Mycoplasma genitalium]
WP_010869340.1	WP_014894573	UDP-glucose 4-epimerase GalE [Mycoplasma genitalium]
WP_010869342.1	WP_014894397	hypothetical protein [Mycoplasma genitalium]
WP_010869343.1	WP_014894398	thiol reductase thioredoxin [Mycoplasma genitalium]
WP_010869344.1	WP_014894577	hypothetical protein [Mycoplasma genitalium]
WP_010869345.1	WP_014894400	hypothetical protein [Mycoplasma genitalium]
WP_041593668.1	WP_041360897	adhesin [Mycoplasma genitalium]
WP_041593670.1	WP_014894637	hypothetical protein [Mycoplasma genitalium]
WP_041593671.1	WP_041361197	adhesin [Mycoplasma genitalium]
WP_041593672.1	WP_050982310	hypothetical protein [Mycoplasma genitalium]
WP_041593673.1	WP_041361213	hypothetical protein [Mycoplasma genitalium]
WP_009885719.1	WP_010874426	50S ribosomal protein L33 [Mycoplasma pneumoniae]
WP_009885720.1	WP_010874427	hypothetical protein [Mycoplasma pneumoniae]
WP_009885721.1	WP_014893909	rRNA (cytidine-2'-O-)-methyltransferase [Mycoplasma genitalium]
WP_009885722.1	WP_014894121	ribonuclease M5 [Mycoplasma genitalium]
WP_009885723.1	WP_014894122	ribose-phosphate pyrophosphokinase [Mycoplasma genitalium]
WP_009885746.1	WP_054175482	pseudouridine synthase [Mycoplasma pneumoniae]
WP_009885747.1	WP_014893996	signal peptidase II [Mycoplasma genitalium]
WP_009885748.1	WP_014893997	hypothetical protein [Mycoplasma genitalium]
WP_009885749.1	WP_010874653	30S ribosomal protein S21 [Mycoplasma pneumoniae]
WP_009885750.1	WP_014894428	DivIVA domain-containing protein [Mycoplasma genitalium]
WP_009885900.1	WP_014894447	hypothetical protein [Mycoplasma genitalium]
WP_009885901.1	WP_014325503	hypothetical protein [Mycoplasma pneumoniae]
WP_009885902.1	WP_014894013	lipoate--protein ligase [Mycoplasma genitalium]
WP_009885903.1	WP_054173234	dihydrolipoyl dehydrogenase [Mycoplasma pneumoniae]
WP_009885904.1	WP_014894645	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [Mycoplasma genitalium]
WP_009885867.1	WP_014894606	tRNA pseudouridine(38-40) synthase TruA [Mycoplasma genitalium]
WP_009885868.1	WP_014893975	oligoendopeptidase F [Mycoplasma genitalium]
WP_009885871.1	WP_014894412	hypothetical protein [Mycoplasma genitalium]
WP_009885873.1	WP_014894020	DNA repair protein HhH-GPD [Mycoplasma genitalium]
WP_009885876.1	WP_014894269	hypothetical protein [Mycoplasma genitalium]
WP_010869334.1	WP_010874604	protein phosphatase [Mycoplasma pneumoniae]
WP_010869335.1	WP_014894570	ribosome small subunit-dependent GTPase A [Mycoplasma genitalium]
WP_010869336.1	WP_014893940	glucose-6-phosphate isomerase [Mycoplasma genitalium]
WP_010869338.1	WP_014894572	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Mycoplasma genitalium]
WP_010869339.1	WP_014574921	hypothetical protein [Mycoplasma pneumoniae]
WP_029329854.1	WP_010874404	nicotinate phosphoribosyltransferase [Mycoplasma pneumoniae]
WP_041361276.1	WP_014894083	Organic hydroperoxide resistance [Mycoplasma genitalium]
WP_041593664.1	WP_014893915	hypothetical protein [Mycoplasma genitalium]
WP_041593665.1	WP_041594439	adhesin [Mycoplasma genitalium]
WP_041593667.1	WP_036446290	hypothetical protein, partial [Mycoplasma genitalium]
WP_009886007.1	WP_014894418	oxidoreductase [Mycoplasma genitalium]
WP_010869286.1	WP_014894093	serine--tRNA ligase [Mycoplasma genitalium]
WP_010869287.1	WP_014894527	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Mycoplasma genitalium]
WP_010869288.1	WP_014894528	hypothetical protein [Mycoplasma genitalium]
WP_010869289.1	WP_014894094	hypothetical protein [Mycoplasma genitalium]
WP_010869464.1	WP_010874931	molecular chaperone GroES [Mycoplasma pneumoniae]
WP_010869465.1	WP_050983339	hypothetical protein [Mycoplasma genitalium]
WP_010869466.1	WP_014894689	hypothetical protein [Mycoplasma genitalium]
WP_010869467.1	WP_041361237	ATP synthase F0F1 subunit epsilon [Mycoplasma genitalium]
WP_010869468.1	WP_041361274	ATP synthase subunit beta [Mycoplasma genitalium]
WP_010869486.1	WP_014894079	hypothetical protein [Mycoplasma genitalium]
WP_010869488.1	WP_041361277	tyrosine--tRNA ligase [Mycoplasma genitalium]
WP_010869489.1	WP_014894347	HD domain-containing protein [Mycoplasma genitalium]
WP_010869490.1	WP_010875036	ribosomal RNA small subunit methyltransferase A [Mycoplasma pneumoniae]
WP_010869492.1	WP_014894524	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869310.1	WP_014894548	glycosyl transferase family A [Mycoplasma genitalium]
WP_010869311.1	WP_009885725	hypothetical protein [Mycoplasma genitalium]
WP_010869312.1	WP_014893910	PTS fructose EIIABC component [Mycoplasma genitalium]
WP_010869313.1	WP_014894125	phosphofructokinase [Mycoplasma genitalium]
WP_010869314.1	WP_014894368	ABC transporter permease [Mycoplasma genitalium]
WP_009885928.1	WP_014894560	preprotein translocase subunit SecA [Mycoplasma genitalium]
WP_009885930.1	WP_010869320	hypothetical protein [Mycoplasma genitalium]
WP_009885931.1	WP_014894139	hypothetical protein [Mycoplasma genitalium]
WP_009885932.1	WP_014894140	peptide ABC transporter permease [Mycoplasma genitalium]
WP_009885933.1	WP_014894141	peptide ABC transporter permease [Mycoplasma genitalium]
WP_009885962.1	WP_014894035	hypothetical protein [Mycoplasma genitalium]
WP_009885966.1	WP_014574997	hypothetical protein [Mycoplasma pneumoniae]
WP_009885968.1	WP_010874844	iron-sulfur cluster scaffold-like protein [Mycoplasma pneumoniae]
WP_009885969.1	WP_014894477	hypothetical protein [Mycoplasma genitalium]
WP_009885970.1	WP_010874846	protein RecA [Mycoplasma pneumoniae]
WP_010869374.1	WP_041361261	segregation and condensation protein A [Mycoplasma genitalium]
WP_010869375.1	WP_014894221	6-phosphofructokinase [Mycoplasma genitalium]
WP_010869376.1	WP_014893999	hypothetical protein [Mycoplasma genitalium]
WP_010869377.1	WP_014894224	Cytadherence high molecular weight protein 2 [Mycoplasma genitalium]
WP_010869378.1	WP_014894431	hypothetical protein [Mycoplasma genitalium]
WP_010869434.1	WP_014894668	hypothetical protein [Mycoplasma genitalium]
WP_010869435.1	WP_014894473	cytidylate kinase [Mycoplasma genitalium]
WP_010869436.1	WP_014894294	hypothetical protein [Mycoplasma genitalium]
WP_010869437.1	WP_014894037	valine--tRNA ligase [Mycoplasma genitalium]
WP_010869438.1	WP_014894297	YihA family ribosome biogenesis GTP-binding protein [Mycoplasma genitalium]
WP_010869408.1	WP_014894257	hypothetical protein [Mycoplasma genitalium]
WP_010869409.1	WP_014894021	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869410.1	WP_014894265	ABC transporter permease [Mycoplasma genitalium]
WP_010869411.1	WP_014894266	Holliday junction DNA helicase [Mycoplasma genitalium]
WP_010869412.1	WP_014894459	alanine--tRNA ligase [Mycoplasma genitalium]
WP_010869352.1	WP_014894408	translation initiation factor IF-2 [Mycoplasma genitalium]
WP_010869353.1	WP_014893964	hypothetical protein [Mycoplasma genitalium]
WP_010869354.1	WP_014893965	hypothetical protein [Mycoplasma genitalium]
WP_010869355.1	WP_014894594	hypothetical protein [Mycoplasma genitalium]
WP_010869356.1	WP_041361000	hypothetical protein [Mycoplasma genitalium]
WP_010869458.1	WP_014894055	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Mycoplasma genitalium]
WP_010869459.1	WP_010874916	hypothetical protein [Mycoplasma pneumoniae]
WP_010869461.1	WP_014894057	EAGR box-containing protein [Mycoplasma genitalium]
WP_010869462.1	WP_014894314	GTPase Era [Mycoplasma genitalium]
WP_010869463.1	WP_014894315	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869397.1	WP_014894437	hypothetical protein [Mycoplasma genitalium]
WP_010869398.1	WP_014894636	50S ribosomal protein L31 [Mycoplasma genitalium]
WP_010869399.1	WP_014894010	5'-3' exonuclease [Mycoplasma genitalium]
WP_010869400.1	WP_014894643	DNA-formamidopyrimidine glycosylase [Mycoplasma genitalium]
WP_010869401.1	WP_014894011	leucine--tRNA ligase [Mycoplasma genitalium]
WP_081440610.1	WP_049759246	glycosyl transferase family A [Mycoplasma genitalium]
WP_081440611.1	WP_014894208	hypothetical protein [Mycoplasma genitalium]
WP_081440612.1	WP_041361270	hypothetical protein [Mycoplasma genitalium]
WP_081440613.1	WP_041361270	hypothetical protein [Mycoplasma genitalium]
WP_009885682.1	WP_014893948	NAD(+) kinase [Mycoplasma genitalium]
WP_009885683.1	WP_014894159	PTS sugar transporter subunit IIB [Mycoplasma genitalium]
WP_009885688.1	WP_014894580	HIT family protein [Mycoplasma genitalium]
WP_009885689.1	WP_014894164	hypothetical protein [Mycoplasma genitalium]
WP_009885692.1	WP_014893955	lysine--tRNA ligase [Mycoplasma genitalium]
WP_009885599.1	WP_014894514	UMP kinase [Mycoplasma genitalium]
WP_009885600.1	WP_014894073	translation elongation factor Ts [Mycoplasma genitalium]
WP_009885601.1	WP_014894339	membrane protein [Mycoplasma genitalium]
WP_009885602.1	WP_014894697	triose-phosphate isomerase [Mycoplasma genitalium]
WP_009885603.1	WP_014894337	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [Mycoplasma genitalium]
WP_009885618.1	WP_053344109	ATP synthase F0F1 subunit A [Mycoplasma pneumoniae]
WP_009885619.1	WP_010874960	ATP synthase subunit C [Mycoplasma pneumoniae]
WP_009885620.1	WP_014894499	ATP synthase subunit B [Mycoplasma genitalium]
WP_009885621.1	WP_014894691	ATP synthase subunit delta [Mycoplasma genitalium]
WP_009885622.1	WP_014894066	ATP synthase subunit alpha [Mycoplasma genitalium]
WP_009885648.1	WP_014893928	30S ribosomal protein S18 [Mycoplasma genitalium]
WP_009885649.1	WP_010874588	50S ribosomal protein L9 [Mycoplasma pneumoniae]
WP_009885652.1	WP_014894147	hypothetical protein [Mycoplasma genitalium]
WP_009885655.1	WP_014893933	aspartyl/glutamyl-tRNA amidotransferase subunit C [Mycoplasma genitalium]
WP_009885658.1	WP_014893935	aspartyl/glutamyl-tRNA amidotransferase subunit B [Mycoplasma genitalium]
WP_009885567.1	WP_010875039	50S ribosomal protein L34 [Mycoplasma pneumoniae]
WP_009885568.1	WP_010875038	ribonuclease P protein component [Mycoplasma pneumoniae]
WP_009885569.1	WP_014894090	protein translocase component YidC [Mycoplasma genitalium]
WP_009885570.1	WP_014894089	glutamate--tRNA ligase [Mycoplasma genitalium]
WP_009885571.1	WP_010875031	L-lactate dehydrogenase [Mycoplasma pneumoniae]
WP_009885829.1	WP_010874513	ribosome-binding factor A [Mycoplasma pneumoniae]
WP_009885830.1	WP_014893963	hypothetical protein [Mycoplasma genitalium]
WP_009885831.1	WP_010874515	bifunctional riboflavin kinase/FMN adenylyltransferase [Mycoplasma pneumoniae]
WP_009885835.1	WP_010874521	30S ribosomal protein S10 [Mycoplasma pneumoniae]
WP_009885836.1	WP_014894598	50S ribosomal protein L4 [Mycoplasma genitalium]
WP_009885805.1	WP_014325580	tRNA (guanine-N(7)-)-methyltransferase [Mycoplasma pneumoniae]
WP_009885806.1	WP_014325581	hypothetical protein [Mycoplasma pneumoniae]
WP_009885807.1	WP_014894047	hypothetical protein [Mycoplasma genitalium]
WP_009885808.1	WP_014894306	hypothetical protein [Mycoplasma genitalium]
WP_009885809.1	WP_014894307	inorganic pyrophosphatase [Mycoplasma genitalium]
#    Function annotation completed successfully. Number of annotations: 509
